species,trait,sigma2_A,sigma2_PE,sigma2_E,sigma2_P,h2,repeatability,heritability_category
Dairy,Milk_yield_kg,250000,150000,400000,800000,0.31,0.50,Moderate
Dairy,Fat_yield_kg,80,50,120,250,0.32,0.52,Moderate
Dairy,Protein_yield_kg,45,30,75,150,0.30,0.50,Moderate
Dairy,Somatic_cell_score,0.15,0.10,0.55,0.80,0.19,0.31,Low
Dairy,Daughter_pregnancy_rate,0.08,0.05,0.77,0.90,0.09,0.14,Low
Dairy,Productive_life_months,12,8,40,60,0.20,0.33,Low
Swine,Litter_size_total_born,0.80,0.50,5.70,7.00,0.11,0.19,Low
Swine,Litter_size_born_alive,0.75,0.45,5.30,6.50,0.12,0.18,Low
Swine,Number_weaned,0.60,0.40,4.00,5.00,0.12,0.20,Low
Swine,Average_daily_gain_g,1200,0,1800,3000,0.40,0.40,High
Swine,Backfat_mm,2.5,0,3.5,6.0,0.42,0.42,High
Swine,Loin_depth_mm,12,0,18,30,0.40,0.40,High
Swine,Feed_conversion_ratio,0.012,0,0.028,0.040,0.30,0.30,Moderate
Swine,Residual_feed_intake_g_per_day,1500,0,3500,5000,0.30,0.30,Moderate
Beef,Birth_weight_kg,12,0,18,30,0.40,0.40,High
Beef,Weaning_weight_kg,180,0,300,480,0.38,0.38,Moderate
Beef,Yearling_weight_kg,400,0,650,1050,0.38,0.38,Moderate
Beef,Marbling_score,0.35,0,0.50,0.85,0.41,0.41,High
Beef,Ribeye_area_cm2,8,0,12,20,0.40,0.40,High
Beef,Mature_cow_weight_kg,450,0,650,1100,0.41,0.41,High
Beef,Calving_ease,0.08,0,0.32,0.40,0.20,0.20,Low
Beef,Heifer_pregnancy,0.03,0,0.17,0.20,0.15,0.15,Low
Poultry_Broiler,Body_weight_42d_g,18000,0,27000,45000,0.40,0.40,High
Poultry_Broiler,Feed_conversion_ratio,0.008,0,0.012,0.020,0.40,0.40,High
Poultry_Broiler,Breast_yield_percent,2.5,0,4.5,7.0,0.36,0.36,Moderate
Poultry_Broiler,Leg_soundness_score,0.10,0,0.35,0.45,0.22,0.22,Moderate
Poultry_Broiler,Livability_percent,2.0,0,8.0,10.0,0.20,0.20,Low
Poultry_Layer,Egg_production_number,120,60,220,400,0.30,0.45,Moderate
Poultry_Layer,Egg_weight_g,2.5,1.5,4.0,8.0,0.31,0.50,Moderate
Poultry_Layer,Shell_strength_score,0.25,0.15,0.50,0.90,0.28,0.44,Moderate
Poultry_Layer,Feed_efficiency_g_per_egg,25,15,60,100,0.25,0.40,Moderate
Poultry_Layer,Age_at_first_egg_days,8,0,20,28,0.29,0.29,Moderate
Sheep,Birth_weight_kg,0.15,0,0.30,0.45,0.33,0.33,Moderate
Sheep,Weaning_weight_kg,2.0,0,3.5,5.5,0.36,0.36,Moderate
Sheep,Fleece_weight_kg,0.35,0,0.45,0.80,0.44,0.44,High
Sheep,Fiber_diameter_micron,3.0,0,3.5,6.5,0.46,0.46,High
Sheep,Litter_size,0.08,0.04,0.58,0.70,0.11,0.17,Low
Horse_Thoroughbred,Racing_time_seconds,0.12,0,0.48,0.60,0.20,0.20,Low
Horse_Thoroughbred,Earnings_dollars,12000,0,48000,60000,0.20,0.20,Low
Horse_Warmblood,Jumping_score,0.15,0,0.30,0.45,0.33,0.33,Moderate
Horse_Warmblood,Dressage_score,0.18,0,0.32,0.50,0.36,0.36,Moderate
Aquaculture_Salmon,Body_weight_harvest_kg,0.15,0,0.30,0.45,0.33,0.33,Moderate
Aquaculture_Salmon,Disease_resistance_score,0.05,0,0.20,0.25,0.20,0.20,Low
Aquaculture_Salmon,Flesh_color_score,0.25,0,0.40,0.65,0.38,0.38,Moderate
